textOriginal,textPreprocessed,class
"So u workin overtime nigpun?","? u workin",0
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",". . .. sir , send send email log payment ll another message explain thing back home great weekend",0
"Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...","? . . 2 4 u quite get ok lor anyway thk ticket co like late already wan go look ur frens darren wif ...",0
"Wat r u doing now?","? u wat r",0
"Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam","? great reason speak year anyways week good exam",0
"Stop the story. I've told him i've returned it and he's saying i should not re order it.",". . stop story tell return he 's say re order",0
"(That said can you text him one more time?)","? ( text time )",0
"In sch but neva mind u eat 1st lor..",".. u lor sch neva mind eat 1st",0
"lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468","? . . reply send stop stop ( ) 21 / f invite friend : frnd 62468",1
"o turns out i had stereo love on mi phone under the unknown album.",". o turn love phone",0
"Can you do online transaction?","? online transaction",0
"Ü neva tell me how i noe... I'm not at home in da aft wat...","home ... ... wat da tell neva ü noe aft",0
"	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386",". . pick ! call win £ won value vodafone customer computer 150 prize collect easy just",1
"Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app",". please call award award £ £ end - 350 350 todays voda number xxxx select receive match 08712300220 quoting claim code 3100 standard rate app",1
"Good. do you think you could send me some pix? I would love to see your top and bottom...","? . send ... good love think pix top",0
"Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc",". � : apple apple apple apple id id [ final due expire today prevent confirm inc",1
"Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�",". � � u ... meet work work tel shall tomorrow matter",0
"Every day i use to sleep after  &lt;#&gt;  so only.",". every sleep & & ; ; day lt # gt",0
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",". up up u u , know like ... :) anything right ! just wake bad night dream tho comedy guess",0
"Its hard to believe things like this. All can say lie but think twice before saying anything to me.",". . thing like say say anything think hard believe lie twice",0
"Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)",". u back ur ! take :-) think wow common freak unless off",0
"Howz pain?hope u r fine..","? .. u hope r howz pain fine",0
"Love it! The girls at the office may wonder why you are smiling but sore...","... ! love girl office wonder why smile sore",0
"Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...",". 2 ... ... ... e e msg die accidentally delete suppose put sim sad",0
"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3","3 , good call / / / / - - - noida commercial silver @ @ @ psf psf psf gold deal",1
"My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7","7 thing / computer just & & ; ; leave lt # gt part keep idiot roommate run full",0
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",". . . . , lady call end ready work far never march sure problem complete",0
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",". , know ! call find service contact dating someone land line",1
"What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.",". . . . up message home great weekend hope ur good phone just leave own see",0
"Oooh bed ridden ey? What are YOU thinking of?","? ? think bed ride",0
"Ok... C ya...","ok ... ... c ya",0
"Are you this much buzy�.I don�t think so",". � � think buzy don t",0
