textOriginal,textPreprocessed,class
"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..","opinion ? 1 . . . . . . . . . 2 3 4 lovable 5 silent 6 character 7 8 stylish 9 simple pls reply ..",0
"Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD",". . . � home home please stay stay citizen entitle refund",1
"BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate",". please alert follow re-activate",1
"Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.",". . . . . sorry sorry dude know forget even remind hope guy fun",0
"No. I dont want to hear anything",". hear anything",0
"I'm e person who's doing e sms survey...","... e e person sm",0
"Mm i had my food da from out","da mm food",0
"4 tacos + 1 rajas burrito, right?","? 1 4 , + right",0
"Yes! How is a pretty lady like you single?","? like yes ! pretty lady single",0
"Jay says that you're a double-faggot","jay",0
"UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233",". . . ur award city break win £ 200 summer shopping spree every wk txt store 88039 skilgme",1
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",". . 2 4 , already babes goin feel ill nite cover :-)",0
"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780","3 free , home ! ( ( ) ) call / new offer save upto \ % bill power govt. lab rs. - delivery guarantee",1
"What * u wearing?","? u * wear",0
"Haha figures, well I found the piece and priscilla's bowl",", 's haha figure well find piece bowl",0
"You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750",". u please term tone next condition pg 750",1
"What you doing?how are you?","? ?",0
"I didn't get the second half of that message","message get second half",0
"Can help u swoop by picking u up from wherever ur other birds r meeting if u want.",". up u u u pick ur r help wherever bird meeting",0
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex","up , still 's number think anybody have n't way ask alex",0
"	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app",". please call award end 350 todays voda number select receive match 08712300220 quoting claim code standard rate app $",1
"Kallis wont bat in 2nd innings.",". kallis wont 2nd",0
"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",". . . 3 5 free , , , send get week text call £ every just tone rate top polyphonic national subpoly 81618 per unsub",1
"Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...","? co ... ... wat : ü ü today mate leave meet yup msg tat yijue tot group cos mah mah askin early mayb haf walk v far",0
"You need to get up. Now.",".. up get need",0
"How are you. Its been ages. How's abj",". . age",0
"Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?","? . . 8 come pub ok go hello village",0
"So are you guys asking that i get that slippers again or its gone with last year","guy get year ask again gone last",0
"U guys never invite me anywhere :(","u guy invite never :(",0
"You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP","2 free even ur stop + ( ) call award award win £ £ 200 guarantee claim 1000 18",1
